AÃ‘O,France,Germany (until 1990 former territory of the FRG),Ireland,Italy,Poland,Spain
2013,33440.88,23457.22,11810.04,11066.49,9778.4,10672.86
2014,33755.95,23570.190000000002,11663.210000000001,10798.93,10005.130000000001,11428.539999999999
2015,34081.020000000004,23301.149999999998,12133.59,10891.19,10527.8,11618.57
2016,33997.01,23015.98,12544.57,11253.39,11043.1,11928.79
2017,32876.64,22593.89,12638.82,11327.2,11130.6,12272.08
2018,32401.5,21945.55,12382.95,11254.279999999999,11333.9,12345.57
2019,31605.47,21361.600000000002,12225.79,11483.89,11513.2,12515.039999999999
2020,31116.859999999997,20749.920000000002,12350.619999999999,11542.7,11548.099999999999,12571.77
2021,30240.850000000002,20318.35,12639.93,11285.64,11897.3,12231.6
2022,29713.46,20212.54,12352.98,10695.0,12003.95,12217.65
